dataset,model,delta_mae,ci_low,ci_high,rank_grounded,rank_trim
Visuelle,IMAPA,0.034644,0.018029,0.051943,1,1
FreshRetail,IMAPA,0.000925,-0.000647,0.002508,3,4
Visuelle,ADIDA,0.032805,0.015261,0.0503,2,2
FreshRetail,ADIDA,0.001049,-0.000562,0.002744,2,3
Visuelle,TSB,0.057222,0.030294,0.08453,3,5
FreshRetail,TSB,0.000147,-0.00189,0.002182,1,1
Visuelle,HistoricAverage,0.039108,0.023306,0.054923,4,4
FreshRetail,HistoricAverage,0.002538,0.000871,0.004601,7,8
Visuelle,CrostonSBA,0.135055,0.086725,0.184388,5,8
FreshRetail,CrostonSBA,-1.3e-05,-0.002716,0.002959,4,2
Visuelle,CrostonClassic,0.16511,0.113383,0.217732,6,9
FreshRetail,CrostonClassic,0.002374,-0.000506,0.005578,5,7
Visuelle,CrostonOptimized,0.086098,0.059272,0.113902,7,7
FreshRetail,CrostonOptimized,0.001808,-5e-06,0.00366,6,5
Visuelle,SESOpt,0.003845,-0.017766,0.027473,8,3
FreshRetail,SESOpt,-0.002115,-0.003846,-0.000452,8,6
Visuelle,Naive,0,0,0,9,6
FreshRetail,Naive,0,0,0,9,9
